# GRID
# x y z
# 0.0 0.98 50 0.0 0.98 50 0.0 0.0 1
# x y z Bx By Bz
0.04 0.46 0 9.23549 1.31121 -4.91704
0.04 0.48 0 9.4154 0.658758 -4.94068
0.04 0.5 0 9.44741 0 -4.98599
0.04 0.52 0 9.4154 -0.658757 -4.94068
0.04 0.54 0 9.23549 -1.31121 -4.91704
0.04 0.56 0 8.99792 -1.92306 -4.80765
0.04 0.58 0 8.70832 -2.46959 -4.63048
0.04 0.6 0 8.29485 -2.98407 -4.47611
0.04 0.62 0 7.84956 -3.41666 -4.27082
0.04 0.64 0 7.38152 -3.76443 -4.03332
0.04 0.66 0 6.83035 -4.07081 -3.81638
0.04 0.68 0 6.28077 -4.2936 -3.578
0.04 0.7 0 5.74063 -4.44001 -3.33001
0.04 0.72 0 5.21657 -4.51881 -3.08101
0.04 0.74 0 4.65918 -4.56243 -2.85152
0.04 0.76 0 4.18563 -4.52993 -2.61342
0.04 0.78 0 3.69271 -4.47297 -2.39623
0.04 0.8 0 3.28091 -4.36496 -2.18248
0.04 0.82 0 2.85878 -4.242 -1.98844
0.04 0.84 0 2.47359 -4.09564 -1.8069
0.04 0.86 0 2.12428 -3.93223 -1.63843
0.04 0.88 0 1.80928 -3.75715 -1.48308
0.04 0.9 0 1.5566 -3.57295 -1.33986
0.04 0.92 0 1.30189 -3.38859 -1.21021
0.04 0.94 0 1.07535 -3.20361 -1.09214
0.04 0.96 0 0.898085 -3.02165 -0.985319
0.04 0.98 0 0.719157 -2.84291 -0.888408
0.06 0 0 0.489871 2.81016 -0.843047
0.06 0.02 0 0.626914 3.00186 -0.938082
0.06 0.04 0 0.807494 3.20443 -1.04492
0.06 0.06 0 0.987224 3.41168 -1.16307
0.06 0.08 0 1.21943 3.6257 -1.29489
0.06 0.1 0 1.4826 3.84183 -1.44069
0.06 0.12 0 1.77954 4.05698 -1.60144
0.06 0.14 0 2.11298 4.26725 -1.77802
0.06 0.16 0 2.44502 4.47393 -1.97379
0.06 0.18 0 2.85532 4.66134 -2.185
0.06 0.2 0 3.30837 4.82648 -2.41324
0.06 0.22 0 3.80519 4.96115 -2.65776
0.06 0.24 0 4.34582 5.05587 -2.91685
0.06 0.26 0 4.92917 5.10004 -3.18753
0.06 0.28 0 5.48899 5.10926 -3.48359
0.06 0.3 0 6.14418 5.02186 -3.7664
0.06 0.32 0 6.75709 4.88516 -4.07097
0.06 0.34 0 7.38372 4.66076 -4.36946
0.06 0.36 0 8.01475 4.33895 -4.64887
0.06 0.38 0 8.63947 3.91342 -4.89177
0.06 0.4 0 9.15833 3.43275 -5.14912
0.06 0.42 0 9.64048 2.85365 -5.3506
0.06 0.44 0 9.98165 2.22872 -5.5718
0.06 0.46 0 10.2608 1.52388 -5.71455
0.06 0.48 0 10.4706 0.767597 -5.75697
0.06 0.5 0 10.5092 0 -5.8111
0.06 0.52 0 10.4706 -0.767595 -5.75697
0.06 0.54 0 10.2608 -1.52388 -5.71455
0.06 0.56 0 9.98165 -2.22872 -5.5718
0.06 0.58 0 9.64048 -2.85365 -5.3506
0.06 0.6 0 9.15833 -3.43274 -5.14912
0.06 0.62 0 8.63947 -3.91342 -4.89177
0.06 0.64 0 8.01475 -4.33895 -4.64887
0.06 0.66 0 7.38372 -4.66076 -4.36946
0.06 0.68 0 6.75709 -4.88516 -4.07097
0.06 0.7 0 6.14418 -5.02186 -3.7664
0.06 0.72 0 5.48899 -5.10926 -3.48359
0.06 0.74 0 4.92917 -5.10004 -3.18753
0.06 0.76 0 4.34582 -5.05587 -2.91685
0.06 0.78 0 3.80519 -4.96115 -2.65776
0.06 0.8 0 3.30838 -4.82648 -2.41324
0.06 0.82 0 2.85532 -4.66134 -2.185
0.06 0.84 0 2.44502 -4.47393 -1.97379
0.06 0.86 0 2.11298 -4.26725 -1.77802
0.06 0.88 0 1.77954 -4.05698 -1.60144
0.06 0.9 0 1.48261 -3.84183 -1.44069
0.06 0.92 0 1.21943 -3.6257 -1.29489
0.06 0.94 0 0.987224 -3.41168 -1.16307
0.06 0.96 0 0.807494 -3.20443 -1.04492
0.06 0.98 0 0.626914 -3.00186 -0.938082
0.08 0 0 0.364886 2.94454 -0.883363
0.08 0.02 0 0.521146 3.16251 -0.988286
0.08 0.04 0 0.67675 3.38732 -1.10456
0.08 0.06 0 0.882712 3.6255 -1.23597
0.08 0.08 0 1.1192 3.87139 -1.38264
0.08 0.1 0 1.38956 4.12271 -1.54602
0.08 0.12 0 1.69723 4.37642 -1.72753
0.08 0.14 0 2.04565 4.62851 -1.92855
0.08 0.16 0 2.43814 4.8739 -2.15025
0.08 0.18 0 2.87774 5.10625 -2.39355
0.08 0.2 0 3.36696 5.31782 -2.65891
0.08 0.22 0 3.9076 5.49934 -2.94607
0.08 0.24 0 4.50041 5.63996 -3.25382
0.08 0.26 0 5.14479 5.72727 -3.57954
0.08 0.28 0 5.83845 5.74743 -3.9187
0.08 0.3 0 6.50254 5.71755 -4.28816
0.08 0.32 0 7.27457 5.56409 -4.63674
0.08 0.34 0 7.99154 5.34173 -5.00787
0.08 0.36 0 8.71697 5.00565 -5.3632
0.08 0.38 0 9.43789 4.54645 -5.68307
0.08 0.4 0 10.0418 4.01225 -6.01837
0.08 0.42 0 10.6038 3.35634 -6.29313
0.08 0.44 0 11.1099 2.59105 -6.47762
0.08 0.46 0 11.44 1.77645 -6.66168
0.08 0.48 0 11.6864 0.897044 -6.72783
0.08 0.5 0 11.7334 0 -6.79265
0.08 0.52 0 11.6864 -0.897043 -6.72783
0.08 0.54 0 11.44 -1.77645 -6.66168
0.08 0.56 0 11.1099 -2.59105 -6.47762
0.08 0.58 0 10.6038 -3.35634 -6.29313
0.08 0.6 0 10.0418 -4.01224 -6.01837
0.08 0.62 0 9.43789 -4.54645 -5.68307
0.08 0.64 0 8.71697 -5.00565 -5.3632
0.08 0.66 0 7.99154 -5.34173 -5.00787
0.08 0.68 0 7.27457 -5.56409 -4.63674
0.08 0.7 0 6.50254 -5.71755 -4.28816
0.08 0.72 0 5.83845 -5.74743 -3.9187
0.08 0.74 0 5.14479 -5.72727 -3.57954
0.08 0.76 0 4.50041 -5.63996 -3.25382
0.08 0.78 0 3.9076 -5.49934 -2.94607
0.08 0.8 0 3.36696 -5.31782 -2.65891
0.08 0.82 0 2.87774 -5.10625 -2.39355
0.08 0.84 0 2.43814 -4.8739 -2.15025
0.08 0.86 0 2.04565 -4.62851 -1.92855
0.08 0.88 0 1.69723 -4.37642 -1.72753
0.08 0.9 0 1.38956 -4.12272 -1.54602
0.08 0.92 0 1.1192 -3.87139 -1.38264
0.08 0.94 0 0.882712 -3.6255 -1.23597
0.08 0.96 0 0.67675 -3.38732 -1.10456
0.08 0.98 0 0.521146 -3.16251 -0.988286
0.1 0 0 0.247383 3.08135 -0.924407
0.1 0.02 0 0.377003 3.31834 -1.03698
0.1 0.04 0 0.553949 3.57464 -1.16564
0.1 0.06 0 0.760043 3.84382 -1.31039
0.1 0.08 0 0.967609 4.12122 -1.47186
0.1 0.1 0 1.24033 4.41246 -1.65467
0.1 0.12 0 1.55379 4.7105 -1.85941
0.1 0.14 0 1.95377 5.01054 -2.08773
0.1 0.16 0 2.36545 5.30703 -2.34134
0.1 0.18 0 2.83072 5.59408 -2.62222
0.1 0.2 0 3.35318 5.86323 -2.93162
0.1 0.22 0 3.93567 6.10417 -3.27009
0.1 0.24 0 4.57993 6.30453 -3.63723
0.1 0.26 0 5.35636 6.42913 -4.01821
0.1 0.28 0 6.12856 6.49769 -4.43025
0.1 0.3 0 6.87521 6.50756 -4.88067
0.1 0.32 0 7.74696 6.38274 -5.31895
0.1 0.34 0 8.65787 6.13036 -5.74721
0.1 0.36 0 9.49522 5.78234 -6.19536
0.1 0.38 0 10.3311 5.28794 -6.60993
0.1 0.4 0 11.0378 4.69401 -7.04101
0.1 0.42 0 11.8109 3.89917 -7.31094
0.1 0.44 0 12.2903 3.06765 -7.66912
0.1 0.46 0 12.8013 2.07832 -7.79369
0.1 0.48 0 12.9706 1.06991 -8.02433
0.1 0.5 0 13.1502 0 -7.96795
0.1 0.52 0 12.9706 -1.06991 -8.02433
0.1 0.54 0 12.8013 -2.07831 -7.79369
0.1 0.56 0 12.2903 -3.06765 -7.66912
0.1 0.58 0 11.8109 -3.89917 -7.31095
0.1 0.6 0 11.0378 -4.69401 -7.04102
0.1 0.62 0 10.3311 -5.28794 -6.60993
0.1 0.64 0 9.49522 -5.78234 -6.19536
0.1 0.66 0 8.65787 -6.13036 -5.74721
0.1 0.68 0 7.74696 -6.38274 -5.31895
0.1 0.7 0 6.87521 -6.50756 -4.88067
0.1 0.72 0 6.12857 -6.49769 -4.43025
0.1 0.74 0 5.35636 -6.42913 -4.01821
0.1 0.76 0 4.57993 -6.30453 -3.63723
0.1 0.78 0 3.93567 -6.10417 -3.27009
0.1 0.8 0 3.35319 -5.86323 -2.93162
0.1 0.82 0 2.83072 -5.59408 -2.62222
0.1 0.84 0 2.36545 -5.30704 -2.34134
0.1 0.86 0 1.95377 -5.01054 -2.08773
0.1 0.88 0 1.55379 -4.7105 -1.85941
0.1 0.9 0 1.24033 -4.41246 -1.65467
0.1 0.92 0 0.96761 -4.12122 -1.47187
0.1 0.94 0 0.760043 -3.84382 -1.31039
0.1 0.96 0 0.553949 -3.57464 -1.16564
0.1 0.98 0 0.377003 -3.31834 -1.03698
0.12 0 0 0.0939547 3.2089 -0.96267
0.12 0.02 0 0.215858 3.47039 -1.0845
0.12 0.04 0 0.386536 3.75629 -1.22488
0.12 0.06 0 0.587784 4.05933 -1.38386
0.12 0.08 0 0.823881 4.37857 -1.56377
0.12 0.1 0 1.09948 4.71229 -1.76711
0.12 0.12 0 1.41958 5.05788 -1.99653
0.12 0.14 0 1.78941 5.41153 -2.25481
0.12 0.16 0 2.21431 5.76801 -2.54471
0.12 0.18 0 2.75252 6.11702 -2.86736
0.12 0.2 0 3.30822 6.45325 -3.22662
0.12 0.22 0 3.9338 6.76439 -3.62378
0.12 0.24 0 4.70222 7.0223 -4.05133
0.12 0.26 0 5.48147 7.23363 -4.52102
0.12 0.28 0 6.33459 7.36884 -5.02421
0.12 0.3 0 7.25784 7.40589 -5.55442
0.12 0.32 0 8.24402 7.32097 -6.10081
0.12 0.34 0 9.28197 7.08993 -6.64681
0.12 0.36 0 10.2456 6.73952 -7.22091
0.12 0.38 0 11.3301 6.16033 -7.70042
0.12 0.4 0 12.1616 5.5001 -8.25015
0.12 0.42 0 13.0678 4.60174 -8.62826
0.12 0.44 0 13.7728 3.58887 -8.97219
0.12 0.46 0 14.2415 2.47679 -9.28796
0.12 0.48 0 14.5865 1.25781 -9.43357
0.12 0.5 0 14.657 0 -9.53122
0.12 0.52 0 14.5865 -1.25781 -9.43357
0.12 0.54 0 14.2415 -2.47679 -9.28796
0.12 0.56 0 13.7728 -3.58887 -8.97219
0.12 0.58 0 13.0678 -4.60174 -8.62827
0.12 0.6 0 12.1616 -5.5001 -8.25015
0.12 0.62 0 11.3301 -6.16033 -7.70042
0.12 0.64 0 10.2456 -6.73952 -7.22091
0.12 0.66 0 9.28198 -7.08993 -6.64681
0.12 0.68 0 8.24402 -7.32097 -6.10081
0.12 0.7 0 7.25785 -7.40589 -5.55442
0.12 0.72 0 6.33459 -7.36884 -5.02421
0.12 0.74 0 5.48147 -7.23363 -4.52102
0.12 0.76 0 4.70222 -7.0223 -4.05133
0.12 0.78 0 3.9338 -6.76439 -3.62378
0.12 0.8 0 3.30822 -6.45325 -3.22663
0.12 0.82 0 2.75252 -6.11702 -2.86736
0.12 0.84 0 2.21431 -5.76801 -2.54471
0.12 0.86 0 1.78941 -5.41153 -2.25481
0.12 0.88 0 1.41958 -5.05788 -1.99653
0.12 0.9 0 1.09948 -4.71229 -1.76711
0.12 0.92 0 0.823881 -4.37857 -1.56377
0.12 0.94 0 0.587784 -4.05933 -1.38386
0.12 0.96 0 0.386536 -3.75629 -1.22488
0.12 0.98 0 0.215858 -3.47039 -1.0845
0.14 0 0 -0.0973568 3.32146 -0.996439
0.14 0.02 0 0.0368846 3.61651 -1.13016
0.14 0.04 0 0.198504 3.93339 -1.28263
0.14 0.06 0 0.391842 4.27226 -1.45645
0.14 0.08 0 0.621761 4.6327 -1.65454
0.14 0.1 0 0.89365 5.01355 -1.88008
0.14 0.12 0 1.21339 5.41265 -2.13657
0.14 0.14 0 1.58729 5.82659 -2.42775
0.14 0.16 0 2.02198 6.25032 -2.7575
0.14 0.18 0 2.58032 6.67609 -3.12942
0.14 0.2 0 3.16242 7.09303 -3.54651
0.14 0.22 0 3.8935 7.48306 -4.00878
0.14 0.24 0 4.72383 7.82918 -4.51684
0.14 0.26 0 5.57507 8.12671 -5.07919
0.14 0.28 0 6.5164 8.345 -5.68978
0.14 0.3 0 7.64367 8.4284 -6.3213
0.14 0.32 0 8.76082 8.39814 -6.99845
0.14 0.34 0 9.94632 8.20072 -7.68817
0.14 0.36 0 11.1825 7.80644 -8.36405
0.14 0.38 0 12.3143 7.24584 -9.0573
0.14 0.4 0 13.4298 6.45807 -9.6871
0.14 0.42 0 14.4984 5.44121 -10.2023
0.14 0.44 0 15.3365 4.26757 -10.6689
0.14 0.46 0 15.8993 2.95613 -11.0855
0.14 0.48 0 16.3111 1.50584 -11.2938
0.14 0.5 0 16.398 0 -11.416
0.14 0.52 0 16.3111 -1.50584 -11.2938
0.14 0.54 0 15.8993 -2.95613 -11.0855
0.14 0.56 0 15.3365 -4.26757 -10.6689
0.14 0.58 0 14.4984 -5.44121 -10.2023
0.14 0.6 0 13.4298 -6.45806 -9.6871
0.14 0.62 0 12.3143 -7.24584 -9.0573
0.14 0.64 0 11.1825 -7.80644 -8.36405
0.14 0.66 0 9.94632 -8.20072 -7.68817
0.14 0.68 0 8.76082 -8.39814 -6.99845
0.14 0.7 0 7.64367 -8.4284 -6.3213
0.14 0.72 0 6.51641 -8.34501 -5.68978
0.14 0.74 0 5.57507 -8.12671 -5.07919
0.14 0.76 0 4.72383 -7.82918 -4.51684
0.14 0.78 0 3.8935 -7.48306 -4.00878
0.14 0.8 0 3.16242 -7.09303 -3.54652
0.14 0.82 0 2.58032 -6.67609 -3.12942
0.14 0.84 0 2.02198 -6.25033 -2.7575
0.14 0.86 0 1.58729 -5.82659 -2.42775
0.14 0.88 0 1.21339 -5.41265 -2.13657
0.14 0.9 0 0.89365 -5.01355 -1.88008
0.14 0.92 0 0.621762 -4.6327 -1.65454
0.14 0.94 0 0.391842 -4.27226 -1.45645
0.14 0.96 0 0.198504 -3.93339 -1.28263
0.14 0.98 0 0.0368847 -3.61651 -1.13016
0.16 0 0 -0.282223 3.43191 -1.02957
0.16 0.02 0 -0.160548 3.75427 -1.17321
0.16 0.04 0 -0.0392992 4.09359 -1.33487
0.16 0.06 0 0.139412 4.47021 -1.52393
0.16 0.08 0 0.355698 4.87472 -1.74097
0.16 0.1 0 0.615666 5.30672 -1.99002
0.16 0.12 0 0.926122 5.76483 -2.27559
0.16 0.14 0 1.34244 6.25251 -2.60521
0.16 0.16 0 1.7822 6.75116 -2.97845
0.16 0.18 0 2.35626 7.26369 -3.40486
0.16 0.2 0 2.96097 7.77314 -3.88657
0.16 0.22 0 3.73117 8.2667 -4.42859
0.16 0.24 0 4.61663 8.72254 -5.03224
0.16 0.26 0 5.6247 9.11618 -5.69761
0.16 0.28 0 6.66099 9.43771 -6.4348
0.16 0.3 0 7.91403 9.61958 -7.21469
0.16 0.32 0 9.17065 9.67065 -8.05887
0.16 0.34 0 10.6456 9.48941 -8.89632
0.16 0.36 0 12.0721 9.11221 -9.76308
0.16 0.38 0 13.3926 8.5258 -10.6573
0.16 0.4 0 14.7022 7.66071 -11.4911
0.16 0.42 0 15.9621 6.50769 -12.2019
0.16 0.44 0 16.9587 5.13828 -12.8457
0.16 0.46 0 17.8116 3.53663 -13.2623
0.16 0.48 0 18.307 1.80685 -13.5514
0.16 0.5 0 18.4149 0 -13.7043
0.16 0.52 0 18.307 -1.80685 -13.5514
0.16 0.54 0 17.8116 -3.53662 -13.2623
0.16 0.56 0 16.9587 -5.13828 -12.8457
0.16 0.58 0 15.9621 -6.50769 -12.2019
0.16 0.6 0 14.7022 -7.66071 -11.4911
0.16 0.62 0 13.3926 -8.5258 -10.6573
0.16 0.64 0 12.0721 -9.11221 -9.76308
0.16 0.66 0 10.6456 -9.48941 -8.89633
0.16 0.68 0 9.17065 -9.67065 -8.05887
0.16 0.7 0 7.91403 -9.61958 -7.21469
0.16 0.72 0 6.66099 -9.43771 -6.4348
0.16 0.74 0 5.6247 -9.11618 -5.69761
0.16 0.76 0 4.61663 -8.72254 -5.03224
0.16 0.78 0 3.73117 -8.2667 -4.42859
0.16 0.8 0 2.96097 -7.77315 -3.88657
0.16 0.82 0 2.35626 -7.26369 -3.40486
0.16 0.84 0 1.7822 -6.75116 -2.97845
0.16 0.86 0 1.34244 -6.25251 -2.60521
0.16 0.88 0 0.926122 -5.76483 -2.27559
0.16 0.9 0 0.615666 -5.30672 -1.99002
0.16 0.92 0 0.355698 -4.87472 -1.74097
0.16 0.94 0 0.139412 -4.47021 -1.52393
0.16 0.96 0 -0.0392991 -4.09359 -1.33487
0.16 0.98 0 -0.160548 -3.75427 -1.17321
0.18 0 0 -0.505846 3.51971 -1.05591
0.18 0.02 0 -0.4025 3.8695 -1.20922
0.18 0.04 0 -0.300502 4.23961 -1.38248
0.18 0.06 0 -0.140887 4.65491 -1.5869
0.18 0.08 0 0.0566807 5.10516 -1.82327
0.18 0.1 0 0.299012 5.59096 -2.09661
0.18 0.12 0 0.638422 6.12227 -2.41669
0.18 0.14 0 0.999714 6.6757 -2.78154
0.18 0.16 0 1.48826 7.26635 -3.20574
0.18 0.18 0 2.0092 7.8705 -3.6893
0.18 0.2 0 2.69333 8.49106 -4.24553
0.18 0.22 0 3.4979 9.10453 -4.87742
0.18 0.24 0 4.43553 9.68975 -5.59024
0.18 0.26 0 5.51728 10.2192 -6.38702
0.18 0.28 0 6.75133 10.6585 -7.26714
0.18 0.3 0 8.14131 10.9658 -8.22432
0.18 0.32 0 9.55349 11.1243 -9.27024
0.18 0.34 0 11.2263 11.0272 -10.338
0.18 0.36 0 12.8641 10.6926 -11.4564
0.18 0.38 0 14.5657 10.0406 -12.5508
0.18 0.4 0 16.1102 9.09501 -13.6425
0.18 0.42 0 17.604 7.78822 -14.6029
0.18 0.44 0 18.9933 6.13616 -15.3404
0.18 0.46 0 19.8173 4.28515 -16.0693
0.18 0.48 0 20.6213 2.1748 -16.311
0.18 0.5 0 20.7563 0 -16.5032
0.18 0.52 0 20.6213 -2.1748 -16.311
0.18 0.54 0 19.8173 -4.28514 -16.0693
0.18 0.56 0 18.9933 -6.13616 -15.3404
0.18 0.58 0 17.604 -7.78822 -14.6029
0.18 0.6 0 16.1102 -9.09501 -13.6425
0.18 0.62 0 14.5657 -10.0406 -12.5508
0.18 0.64 0 12.8641 -10.6926 -11.4564
0.18 0.66 0 11.2263 -11.0272 -10.338
0.18 0.68 0 9.55349 -11.1243 -9.27024
0.18 0.7 0 8.14131 -10.9658 -8.22432
0.18 0.72 0 6.75133 -10.6585 -7.26715
0.18 0.74 0 5.51728 -10.2192 -6.38702
0.18 0.76 0 4.43553 -9.68975 -5.59024
0.18 0.78 0 3.4979 -9.10453 -4.87743
0.18 0.8 0 2.69333 -8.49106 -4.24553
0.18 0.82 0 2.0092 -7.8705 -3.6893
0.18 0.84 0 1.48826 -7.26635 -3.20574
0.18 0.86 0 0.999714 -6.6757 -2.78154
0.18 0.88 0 0.638422 -6.12227 -2.41669
0.18 0.9 0 0.299013 -5.59096 -2.09661
0.18 0.92 0 0.056681 -5.10516 -1.82327
0.18 0.94 0 -0.140887 -4.65491 -1.5869
0.18 0.96 0 -0.300502 -4.23961 -1.38248
0.18 0.98 0 -0.4025 -3.8695 -1.20922
0.2 0 0 -0.745183 3.5903 -1.07709
0.2 0.02 0 -0.663772 3.96699 -1.23968
0.2 0.04 0 -0.585149 4.36761 -1.42422
0.2 0.06 0 -0.449591 4.8219 -1.64383
0.2 0.08 0 -0.276501 5.31892 -1.89962
0.2 0.1 0 -0.0584234 5.86053 -2.1977
0.2 0.12 0 0.213284 6.44768 -2.54514
0.2 0.14 0 0.600182 7.09282 -2.95534
0.2 0.16 0 1.07483 7.77861 -3.43174
0.2 0.18 0 1.58632 8.48867 -3.97906
0.2 0.2 0 2.27378 9.23461 -4.6173
0.2 0.22 0 3.09575 9.98914 -5.35133
0.2 0.24 0 4.06913 10.73 -6.1904
0.2 0.26 0 5.20974 11.4271 -7.14192
0.2 0.28 0 6.53079 12.0408 -8.20966
0.2 0.3 0 8.17116 12.5032 -9.37738
0.2 0.32 0 9.8853 12.7836 -10.653
0.2 0.34 0 11.6221 12.8401 -12.0376
0.2 0.36 0 13.6633 12.5384 -13.434
0.2 0.38 0 15.6388 11.893 -14.8662
0.2 0.4 0 17.6567 10.813 -16.2195
0.2 0.42 0 19.4372 9.33382 -17.5009
0.2 0.44 0 21.0995 7.41077 -18.5269
0.2 0.46 0 22.3375 5.15624 -19.3359
0.2 0.48 0 23.0674 2.65104 -19.8828
0.2 0.5 0 23.2361 0 -20.1307
0.2 0.52 0 23.0674 -2.65104 -19.8828
0.2 0.54 0 22.3375 -5.15623 -19.3359
0.2 0.56 0 21.0995 -7.41077 -18.5269
0.2 0.58 0 19.4372 -9.33382 -17.5009
