# GRID
# t x y
# 0.0 1.0 10 -1.0 1.0 10 -1.0 1.0 10
# t x y n P ux uy uz Bx By Bz
0.0 -1.0 -1.0 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 -0.7777777777777778 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 -0.5555555555555556 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 -0.33333333333333337 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 -0.11111111111111116 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 0.11111111111111116 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 0.33333333333333326 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 0.5555555555555554 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 0.7777777777777777 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -1.0 1.0 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 -1.0 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 -0.7777777777777778 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 -0.5555555555555556 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 -0.33333333333333337 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 -0.11111111111111116 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 0.11111111111111116 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 0.33333333333333326 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 0.5555555555555554 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 0.7777777777777777 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.7777777777777778 1.0 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
0.0 -0.5555555555555556 -1.0 1.0 1.0 0.8660254037844386 0.5000000000000001 0.0 0.0 0.0 0.0
