# GRID
# P
# 0.5 10.0 20
# P fP
0.5 0.4948492486349383
1.0 0.2226402776920684
1.5 0.08700673167264728
2.0 0.0
2.5 -0.0626622754010272
3.0 -0.11093495649877605
3.5 -0.14980417910006916
4.0 -0.1820979414422189
4.5 -0.2095633484241668
5.0 -0.23334954548663356
5.5 -0.2542495591120819
6.0 -0.2728318707285857
6.5 -0.289516780031403
7.0 -0.30462308790872394
7.5 -0.3183978803078408
8.0 -0.331036222606944
8.5 -0.34269458470576986
9.0 -0.3535002355166065
9.5 -0.36355796866549384
10.0 -0.3729550150592591
