# GRID
# fP fPz phi
# -2.0 2.0 101 -2.0 2.0 101 0.0 0.0 1
# fP fBz phi RH
-1.96 -0.8 0.0 -2.531999999999999
-1.96 -0.76 0.0 -2.5367999999999986
-1.96 -0.72 0.0 -2.541599999999999
-1.96 -0.6799999999999999 0.0 -2.5463999999999993
-1.96 -0.6399999999999999 0.0 -2.551199999999999
-1.96 -0.5999999999999999 0.0 -2.555999999999999
-1.96 -0.56 0.0 -2.560799999999999
-1.96 -0.52 0.0 -2.565599999999999
-1.96 -0.48 0.0 -2.570399999999999
-1.96 -0.43999999999999995 0.0 -2.575199999999999
-1.96 -0.3999999999999999 0.0 -2.579999999999999
-1.96 -0.3599999999999999 0.0 -2.584799999999999
-1.96 -0.32000000000000006 0.0 -2.589599999999999
-1.96 -0.28 0.0 -2.5943999999999994
-1.96 -0.24 0.0 -2.599199999999999
-1.96 -0.19999999999999996 0.0 -2.603999999999999
-1.96 -0.15999999999999992 0.0 -2.608799999999999
-1.96 -0.11999999999999988 0.0 -2.613599999999999
-1.96 -0.08000000000000007 0.0 -2.618399999999999
-1.96 -0.040000000000000036 0.0 -2.623199999999999
-1.96 0.0 0.0 -2.6279999999999992
-1.96 0.040000000000000036 0.0 -2.6327999999999987
-1.96 0.08000000000000007 0.0 -2.637599999999999
-1.96 0.1200000000000001 0.0 -2.642399999999999
-1.96 0.16000000000000014 0.0 -2.647199999999999
-1.96 0.20000000000000018 0.0 -2.6519999999999992
-1.96 0.2400000000000002 0.0 -2.6567999999999987
-1.96 0.28000000000000025 0.0 -2.661599999999999
-1.96 0.31999999999999984 0.0 -2.6663999999999985
-1.96 0.3599999999999999 0.0 -2.671199999999999
-1.96 0.3999999999999999 0.0 -2.675999999999999
-1.96 0.43999999999999995 0.0 -2.6807999999999987
-1.96 0.48 0.0 -2.685599999999999
-1.96 0.52 0.0 -2.690399999999999
-1.96 0.56 0.0 -2.695199999999999
-1.96 0.6000000000000001 0.0 -2.699999999999999
-1.96 0.6400000000000001 0.0 -2.7047999999999988
-1.96 0.6800000000000002 0.0 -2.709599999999999
-1.96 0.7200000000000002 0.0 -2.714399999999999
-1.96 0.7600000000000002 0.0 -2.719199999999999
-1.96 0.8000000000000003 0.0 -2.723999999999999
-1.96 0.8399999999999999 0.0 -2.728799999999999
-1.96 0.8799999999999999 0.0 -2.733599999999999
-1.96 0.9199999999999999 0.0 -2.7383999999999986
-1.96 0.96 0.0 -2.743199999999999
-1.96 1.0 0.0 -2.7479999999999993
-1.96 1.04 0.0 -2.752799999999999
-1.96 1.08 0.0 -2.7575999999999987
-1.96 1.12 0.0 -2.7623999999999986
-1.96 1.1600000000000001 0.0 -2.767199999999999
-1.96 1.2000000000000002 0.0 -2.7719999999999994
-1.96 1.2400000000000002 0.0 -2.776799999999999
-1.96 1.2800000000000002 0.0 -2.7815999999999987
-1.96 1.3200000000000003 0.0 -2.7863999999999987
-1.96 1.3599999999999999 0.0 -2.791199999999999
-1.96 1.4 0.0 -2.7959999999999985
-1.96 1.44 0.0 -2.800799999999999
-1.96 1.48 0.0 -2.805599999999999
-1.96 1.52 0.0 -2.8103999999999996
-1.96 1.56 0.0 -2.815199999999999
-1.96 1.6 0.0 -2.8199999999999985
-1.96 1.6400000000000001 0.0 -2.824799999999999
-1.96 1.6800000000000002 0.0 -2.8295999999999992
-1.96 1.7200000000000002 0.0 -2.8343999999999996
-1.96 1.7600000000000002 0.0 -2.839199999999999
-1.96 1.8000000000000003 0.0 -2.8439999999999985
-1.96 1.8399999999999999 0.0 -2.848799999999999
-1.96 1.88 0.0 -2.8535999999999984
-1.96 1.92 0.0 -2.8583999999999987
-1.96 1.96 0.0 -2.863199999999999
-1.96 2.0 0.0 -2.8679999999999994
-1.92 -2.0 0.0 -2.1559999999999997
-1.92 -1.96 0.0 -2.1608
-1.92 -1.92 0.0 -2.1656
-1.92 -1.88 0.0 -2.1704000000000003
-1.92 -1.84 0.0 -2.1752000000000002
-1.92 -1.8 0.0 -2.1799999999999997
-1.92 -1.76 0.0 -2.1847999999999996
-1.92 -1.72 0.0 -2.1895999999999995
-1.92 -1.68 0.0 -2.1944
-1.92 -1.6400000000000001 0.0 -2.1992000000000003
-1.92 -1.6 0.0 -2.2039999999999997
-1.92 -1.56 0.0 -2.2088
-1.92 -1.52 0.0 -2.2135999999999996
-1.92 -1.48 0.0 -2.2184
-1.92 -1.44 0.0 -2.2232000000000003
-1.92 -1.4 0.0 -2.2279999999999998
-1.92 -1.3599999999999999 0.0 -2.2328
-1.92 -1.3199999999999998 0.0 -2.2375999999999996
-1.92 -1.28 0.0 -2.2424
-1.92 -1.24 0.0 -2.2472
-1.92 -1.2 0.0 -2.252
-1.92 -1.1600000000000001 0.0 -2.2568
-1.92 -1.12 0.0 -2.2615999999999996
-1.92 -1.08 0.0 -2.2664
-1.92 -1.04 0.0 -2.2712000000000003
-1.92 -1.0 0.0 -2.276
-1.92 -0.96 0.0 -2.2808
-1.92 -0.9199999999999999 0.0 -2.2856
-1.92 -0.8799999999999999 0.0 -2.2904
-1.92 -0.8400000000000001 0.0 -2.2952
-1.92 -0.8 0.0 -2.3
-1.92 -0.76 0.0 -2.3047999999999997
-1.92 -0.72 0.0 -2.3096
-1.92 -0.6799999999999999 0.0 -2.3144
-1.92 -0.6399999999999999 0.0 -2.3192
-1.92 -0.5999999999999999 0.0 -2.324
-1.92 -0.56 0.0 -2.3288
-1.92 -0.52 0.0 -2.3335999999999997
-1.92 -0.48 0.0 -2.3384
-1.92 -0.43999999999999995 0.0 -2.3432
-1.92 -0.3999999999999999 0.0 -2.348
-1.92 -0.3599999999999999 0.0 -2.3528
-1.92 -0.32000000000000006 0.0 -2.3576
-1.92 -0.28 0.0 -2.3624
-1.92 -0.24 0.0 -2.3672
-1.92 -0.19999999999999996 0.0 -2.372
-1.92 -0.15999999999999992 0.0 -2.3768
-1.92 -0.11999999999999988 0.0 -2.3815999999999997
-1.92 -0.08000000000000007 0.0 -2.3864
-1.92 -0.040000000000000036 0.0 -2.3912
-1.92 0.0 0.0 -2.396
-1.92 0.040000000000000036 0.0 -2.4008
-1.92 0.08000000000000007 0.0 -2.4055999999999997
-1.92 0.1200000000000001 0.0 -2.4104
-1.92 0.16000000000000014 0.0 -2.4152
-1.92 0.20000000000000018 0.0 -2.42
-1.92 0.2400000000000002 0.0 -2.4248000000000003
-1.92 0.28000000000000025 0.0 -2.4295999999999998
-1.92 0.31999999999999984 0.0 -2.4344
-1.92 0.3599999999999999 0.0 -2.4391999999999996
-1.92 0.3999999999999999 0.0 -2.444
-1.92 0.43999999999999995 0.0 -2.4488000000000003
-1.92 0.48 0.0 -2.4536
-1.92 0.52 0.0 -2.4584
-1.92 0.56 0.0 -2.4632
-1.92 0.6000000000000001 0.0 -2.468
-1.92 0.6400000000000001 0.0 -2.4727999999999994
-1.92 0.6800000000000002 0.0 -2.4776
-1.92 0.7200000000000002 0.0 -2.4824
-1.92 0.7600000000000002 0.0 -2.4872
-1.92 0.8000000000000003 0.0 -2.492
-1.92 0.8399999999999999 0.0 -2.4968
-1.92 0.8799999999999999 0.0 -2.5016
-1.92 0.9199999999999999 0.0 -2.5064
-1.92 0.96 0.0 -2.5111999999999997
-1.92 1.0 0.0 -2.516
-1.92 1.04 0.0 -2.5208
-1.92 1.08 0.0 -2.5256
-1.92 1.12 0.0 -2.5304
-1.92 1.1600000000000001 0.0 -2.5351999999999997
-1.92 1.2000000000000002 0.0 -2.54
-1.92 1.2400000000000002 0.0 -2.5448000000000004
-1.92 1.2800000000000002 0.0 -2.5496
-1.92 1.3200000000000003 0.0 -2.5544000000000002
-1.92 1.3599999999999999 0.0 -2.5592
-1.92 1.4 0.0 -2.564
-1.92 1.44 0.0 -2.5687999999999995
-1.92 1.48 0.0 -2.5736
-1.92 1.52 0.0 -2.5784000000000002
-1.92 1.56 0.0 -2.5832
-1.92 1.6 0.0 -2.588
-1.92 1.6400000000000001 0.0 -2.5927999999999995
-1.92 1.6800000000000002 0.0 -2.5976
-1.92 1.7200000000000002 0.0 -2.6024000000000003
-1.92 1.7600000000000002 0.0 -2.6072
-1.92 1.8000000000000003 0.0 -2.612
-1.92 1.8399999999999999 0.0 -2.6168
-1.92 1.88 0.0 -2.6216
-1.92 1.92 0.0 -2.6264000000000003
-1.92 1.96 0.0 -2.6311999999999998
-1.92 2.0 0.0 -2.636
-1.88 -2.0 0.0 -1.9239999999999988
-1.88 -1.96 0.0 -1.928799999999999
-1.88 -1.92 0.0 -1.9335999999999989
-1.88 -1.88 0.0 -1.9383999999999992
-1.88 -1.84 0.0 -1.9431999999999992
-1.88 -1.8 0.0 -1.947999999999999
-1.88 -1.76 0.0 -1.952799999999999
-1.88 -1.72 0.0 -1.957599999999999
-1.88 -1.68 0.0 -1.962399999999999
-1.88 -1.6400000000000001 0.0 -1.9671999999999992
-1.88 -1.6 0.0 -1.971999999999999
-1.88 -1.56 0.0 -1.976799999999999
-1.88 -1.52 0.0 -1.981599999999999
-1.88 -1.48 0.0 -1.986399999999999
-1.88 -1.44 0.0 -1.9911999999999992
-1.88 -1.4 0.0 -1.995999999999999
-1.88 -1.3599999999999999 0.0 -2.000799999999999
-1.88 -1.3199999999999998 0.0 -2.005599999999999
-1.88 -1.28 0.0 -2.010399999999999
-1.88 -1.24 0.0 -2.015199999999999
-1.88 -1.2 0.0 -2.019999999999999
-1.88 -1.1600000000000001 0.0 -2.024799999999999
-1.88 -1.12 0.0 -2.029599999999999
-1.88 -1.08 0.0 -2.034399999999999
-1.88 -1.04 0.0 -2.0391999999999992
-1.88 -1.0 0.0 -2.0439999999999987
-1.88 -0.96 0.0 -2.048799999999999
-1.88 -0.9199999999999999 0.0 -2.053599999999999
-1.88 -0.8799999999999999 0.0 -2.058399999999999
-1.88 -0.8400000000000001 0.0 -2.0631999999999993
-1.88 -0.8 0.0 -2.067999999999999
-1.88 -0.76 0.0 -2.072799999999999
-1.88 -0.72 0.0 -2.077599999999999
-1.88 -0.6799999999999999 0.0 -2.082399999999999
-1.88 -0.6399999999999999 0.0 -2.0871999999999993
-1.88 -0.5999999999999999 0.0 -2.091999999999999
-1.88 -0.56 0.0 -2.096799999999999
-1.88 -0.52 0.0 -2.1015999999999995
-1.88 -0.48 0.0 -2.106399999999999
-1.88 -0.43999999999999995 0.0 -2.1111999999999993
-1.88 -0.3999999999999999 0.0 -2.1159999999999988
-1.88 -0.3599999999999999 0.0 -2.120799999999999
-1.88 -0.32000000000000006 0.0 -2.125599999999999
-1.88 -0.28 0.0 -2.130399999999999
-1.88 -0.24 0.0 -2.1351999999999993
-1.88 -0.19999999999999996 0.0 -2.139999999999999
-1.88 -0.15999999999999992 0.0 -2.144799999999999
-1.88 -0.11999999999999988 0.0 -2.149599999999999
-1.88 -0.08000000000000007 0.0 -2.154399999999999
-1.88 -0.040000000000000036 0.0 -2.159199999999999
-1.88 0.0 0.0 -2.163999999999999
-1.88 0.040000000000000036 0.0 -2.168799999999999
-1.88 0.08000000000000007 0.0 -2.173599999999999
-1.88 0.1200000000000001 0.0 -2.178399999999999
-1.88 0.16000000000000014 0.0 -2.183199999999999
-1.88 0.20000000000000018 0.0 -2.187999999999999
-1.88 0.2400000000000002 0.0 -2.192799999999999
-1.88 0.28000000000000025 0.0 -2.197599999999999
-1.88 0.31999999999999984 0.0 -2.202399999999999
-1.88 0.3599999999999999 0.0 -2.207199999999999
-1.88 0.3999999999999999 0.0 -2.2119999999999993
-1.88 0.43999999999999995 0.0 -2.216799999999999
-1.88 0.48 0.0 -2.221599999999999
-1.88 0.52 0.0 -2.226399999999999
-1.88 0.56 0.0 -2.231199999999999
-1.88 0.6000000000000001 0.0 -2.2359999999999993
-1.88 0.6400000000000001 0.0 -2.2407999999999992
-1.88 0.6800000000000002 0.0 -2.245599999999999
-1.88 0.7200000000000002 0.0 -2.250399999999999
-1.88 0.7600000000000002 0.0 -2.255199999999999
-1.88 0.8000000000000003 0.0 -2.2599999999999993
-1.88 0.8399999999999999 0.0 -2.264799999999999
-1.88 0.8799999999999999 0.0 -2.269599999999999
-1.88 0.9199999999999999 0.0 -2.274399999999999
-1.88 0.96 0.0 -2.279199999999999
-1.88 1.0 0.0 -2.283999999999999
-1.88 1.04 0.0 -2.288799999999999
-1.88 1.08 0.0 -2.293599999999999
-1.88 1.12 0.0 -2.298399999999999
-1.88 1.1600000000000001 0.0 -2.303199999999999
-1.88 1.2000000000000002 0.0 -2.307999999999999
-1.88 1.2400000000000002 0.0 -2.3127999999999993
-1.88 1.2800000000000002 0.0 -2.317599999999999
-1.88 1.3200000000000003 0.0 -2.322399999999999
-1.88 1.3599999999999999 0.0 -2.327199999999999
-1.88 1.4 0.0 -2.331999999999999
-1.88 1.44 0.0 -2.336799999999999
-1.88 1.48 0.0 -2.341599999999999
-1.88 1.52 0.0 -2.346399999999999
-1.88 1.56 0.0 -2.351199999999999
-1.88 1.6 0.0 -2.355999999999999
-1.88 1.6400000000000001 0.0 -2.360799999999999
-1.88 1.6800000000000002 0.0 -2.365599999999999
-1.88 1.7200000000000002 0.0 -2.370399999999999
-1.88 1.7600000000000002 0.0 -2.375199999999999
-1.88 1.8000000000000003 0.0 -2.379999999999999
-1.88 1.8399999999999999 0.0 -2.384799999999999
-1.88 1.88 0.0 -2.389599999999999
-1.88 1.92 0.0 -2.394399999999999
-1.88 1.96 0.0 -2.399199999999999
-1.88 2.0 0.0 -2.403999999999999
-1.84 -2.0 0.0 -1.692
-1.84 -1.96 0.0 -1.6967999999999999
-1.84 -1.92 0.0 -1.7015999999999998
-1.84 -1.88 0.0 -1.7064000000000001
-1.84 -1.84 0.0 -1.7112
-1.84 -1.8 0.0 -1.716
-1.84 -1.76 0.0 -1.7207999999999999
-1.84 -1.72 0.0 -1.7255999999999998
-1.84 -1.68 0.0 -1.7304
-1.84 -1.6400000000000001 0.0 -1.7352
-1.84 -1.6 0.0 -1.74
-1.84 -1.56 0.0 -1.7448
-1.84 -1.52 0.0 -1.7495999999999998
-1.84 -1.48 0.0 -1.7544
-1.84 -1.44 0.0 -1.7592
-1.84 -1.4 0.0 -1.764
-1.84 -1.3599999999999999 0.0 -1.7688
-1.84 -1.3199999999999998 0.0 -1.7735999999999998
-1.84 -1.28 0.0 -1.7784
-1.84 -1.24 0.0 -1.7832
-1.84 -1.2 0.0 -1.788
-1.84 -1.1600000000000001 0.0 -1.7928
-1.84 -1.12 0.0 -1.7975999999999999
-1.84 -1.08 0.0 -1.8024
-1.84 -1.04 0.0 -1.8072
-1.84 -1.0 0.0 -1.8119999999999998
-1.84 -0.96 0.0 -1.8167999999999997
-1.84 -0.9199999999999999 0.0 -1.8216
-1.84 -0.8799999999999999 0.0 -1.8264
-1.84 -0.8400000000000001 0.0 -1.8312
-1.84 -0.8 0.0 -1.8359999999999999
-1.84 -0.76 0.0 -1.8407999999999998
-1.84 -0.72 0.0 -1.8456000000000001
-1.84 -0.6799999999999999 0.0 -1.8503999999999998
-1.84 -0.6399999999999999 0.0 -1.8552
-1.84 -0.5999999999999999 0.0 -1.8599999999999999
-1.84 -0.56 0.0 -1.8647999999999998
-1.84 -0.52 0.0 -1.8696
-1.84 -0.48 0.0 -1.8744
-1.84 -0.43999999999999995 0.0 -1.8792
-1.84 -0.3999999999999999 0.0 -1.884
-1.84 -0.3599999999999999 0.0 -1.8887999999999998
-1.84 -0.32000000000000006 0.0 -1.8936000000000002
-1.84 -0.28 0.0 -1.8983999999999999
-1.84 -0.24 0.0 -1.9032
-1.84 -0.19999999999999996 0.0 -1.908
-1.84 -0.15999999999999992 0.0 -1.9127999999999998
-1.84 -0.11999999999999988 0.0 -1.9175999999999997
-1.84 -0.08000000000000007 0.0 -1.9224
-1.84 -0.040000000000000036 0.0 -1.9272
-1.84 0.0 0.0 -1.932
-1.84 0.040000000000000036 0.0 -1.9367999999999999
-1.84 0.08000000000000007 0.0 -1.9415999999999998
-1.84 0.1200000000000001 0.0 -1.9464000000000001
-1.84 0.16000000000000014 0.0 -1.9512
-1.84 0.20000000000000018 0.0 -1.956
-1.84 0.2400000000000002 0.0 -1.9608
-1.84 0.28000000000000025 0.0 -1.9655999999999998
-1.84 0.31999999999999984 0.0 -1.9704
-1.84 0.3599999999999999 0.0 -1.9751999999999996
-1.84 0.3999999999999999 0.0 -1.98
-1.84 0.43999999999999995 0.0 -1.9848000000000001
-1.84 0.48 0.0 -1.9895999999999998
-1.84 0.52 0.0 -1.9944
-1.84 0.56 0.0 -1.9991999999999996
-1.84 0.6000000000000001 0.0 -2.004
-1.84 0.6400000000000001 0.0 -2.0088
-1.84 0.6800000000000002 0.0 -2.0136
-1.84 0.7200000000000002 0.0 -2.0184
-1.84 0.7600000000000002 0.0 -2.0231999999999997
-1.84 0.8000000000000003 0.0 -2.028
-1.84 0.8399999999999999 0.0 -2.0327999999999995
-1.84 0.8799999999999999 0.0 -2.0376
-1.84 0.9199999999999999 0.0 -2.0423999999999998
-1.84 0.96 0.0 -2.0472
-1.84 1.0 0.0 -2.052
-1.84 1.04 0.0 -2.0567999999999995
-1.84 1.08 0.0 -2.0616
-1.84 1.12 0.0 -2.0664
-1.84 1.1600000000000001 0.0 -2.0712
-1.84 1.2000000000000002 0.0 -2.076
-1.84 1.2400000000000002 0.0 -2.0808
-1.84 1.2800000000000002 0.0 -2.0856
-1.84 1.3200000000000003 0.0 -2.0904
-1.84 1.3599999999999999 0.0 -2.0951999999999997
-1.84 1.4 0.0 -2.0999999999999996
-1.84 1.44 0.0 -2.1048
-1.84 1.48 0.0 -2.1096
-1.84 1.52 0.0 -2.1144
-1.84 1.56 0.0 -2.1191999999999998
-1.84 1.6 0.0 -2.1239999999999997
-1.84 1.6400000000000001 0.0 -2.1288
-1.84 1.6800000000000002 0.0 -2.1336
-1.84 1.7200000000000002 0.0 -2.1384
-1.84 1.7600000000000002 0.0 -2.1431999999999998
-1.84 1.8000000000000003 0.0 -2.1479999999999997
-1.84 1.8399999999999999 0.0 -2.1527999999999996
-1.84 1.88 0.0 -2.1575999999999995
-1.84 1.92 0.0 -2.1624
-1.84 1.96 0.0 -2.1672000000000002
-1.84 2.0 0.0 -2.1719999999999997
-1.8 -2.0 0.0 -1.4600000000000009
-1.8 -1.96 0.0 -1.4648000000000008
-1.8 -1.92 0.0 -1.4696000000000007
-1.8 -1.88 0.0 -1.474400000000001
-1.8 -1.84 0.0 -1.479200000000001
-1.8 -1.8 0.0 -1.4840000000000009
-1.8 -1.76 0.0 -1.4888000000000008
-1.8 -1.72 0.0 -1.4936000000000007
-1.8 -1.68 0.0 -1.4984000000000008
-1.8 -1.6400000000000001 0.0 -1.503200000000001
-1.8 -1.6 0.0 -1.508000000000001
-1.8 -1.56 0.0 -1.5128000000000008
-1.8 -1.52 0.0 -1.5176000000000007
-1.8 -1.48 0.0 -1.5224000000000009
-1.8 -1.44 0.0 -1.527200000000001
-1.8 -1.4 0.0 -1.532000000000001
-1.8 -1.3599999999999999 0.0 -1.5368000000000008
-1.8 -1.3199999999999998 0.0 -1.5416000000000007
-1.8 -1.28 0.0 -1.5464000000000009
-1.8 -1.24 0.0 -1.5512000000000008
-1.8 -1.2 0.0 -1.556000000000001
-1.8 -1.1600000000000001 0.0 -1.5608000000000009
-1.8 -1.12 0.0 -1.5656000000000008
-1.8 -1.08 0.0 -1.570400000000001
-1.8 -1.04 0.0 -1.575200000000001
-1.8 -1.0 0.0 -1.580000000000001
-1.8 -0.96 0.0 -1.5848000000000009
-1.8 -0.9199999999999999 0.0 -1.5896000000000008
-1.8 -0.8799999999999999 0.0 -1.5944000000000007
-1.8 -0.8400000000000001 0.0 -1.5992000000000008
-1.8 -0.8 0.0 -1.604000000000001
-1.8 -0.76 0.0 -1.608800000000001
-1.8 -0.72 0.0 -1.6136000000000008
-1.8 -0.6799999999999999 0.0 -1.618400000000001
-1.8 -0.6399999999999999 0.0 -1.6232000000000009
-1.8 -0.5999999999999999 0.0 -1.628000000000001
-1.8 -0.56 0.0 -1.632800000000001
-1.8 -0.52 0.0 -1.637600000000001
-1.8 -0.48 0.0 -1.6424000000000007
-1.8 -0.43999999999999995 0.0 -1.6472000000000009
-1.8 -0.3999999999999999 0.0 -1.6520000000000008
-1.8 -0.3599999999999999 0.0 -1.656800000000001
-1.8 -0.32000000000000006 0.0 -1.6616000000000009
-1.8 -0.28 0.0 -1.666400000000001
-1.8 -0.24 0.0 -1.671200000000001
-1.8 -0.19999999999999996 0.0 -1.6760000000000008
-1.8 -0.15999999999999992 0.0 -1.6808000000000007
-1.8 -0.11999999999999988 0.0 -1.6856000000000009
-1.8 -0.08000000000000007 0.0 -1.690400000000001
-1.8 -0.040000000000000036 0.0 -1.695200000000001
-1.8 0.0 0.0 -1.7000000000000008
-1.8 0.040000000000000036 0.0 -1.7048000000000008
-1.8 0.08000000000000007 0.0 -1.709600000000001
-1.8 0.1200000000000001 0.0 -1.714400000000001
-1.8 0.16000000000000014 0.0 -1.719200000000001
-1.8 0.20000000000000018 0.0 -1.724000000000001
-1.8 0.2400000000000002 0.0 -1.7288000000000008
-1.8 0.28000000000000025 0.0 -1.733600000000001
-1.8 0.31999999999999984 0.0 -1.7384000000000006
-1.8 0.3599999999999999 0.0 -1.7432000000000007
-1.8 0.3999999999999999 0.0 -1.7480000000000007
-1.8 0.43999999999999995 0.0 -1.7528000000000008
